 [2019-05-16 15:26:37,428] INFO    62[main] - applications.Main.main(Main.java:47) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 15:26:37,445]ERROR    79[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:147) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 15:26:43,296] INFO  5930[main] - applications.Main.main(Main.java:51) - 输出应用一的选择菜单
 [2019-05-16 15:26:47,119] INFO  9753[main] - applications.Main.main(Main.java:85) - 应用一对当前信息进行随机排序
 [2019-05-16 15:26:56,917] INFO 19551[main] - applications.Main.main(Main.java:51) - 输出应用一的选择菜单
 [2019-05-16 15:28:35,922] INFO     0[main] - applications.Main.main(Main.java:39) - 选择trackgame应用
 [2019-05-16 15:28:35,953] INFO    31[main] - applications.Main.main(Main.java:43) - 读取trackgame.txt的信息
 [2019-05-16 15:28:35,953] INFO    31[main] - applications.Main.main(Main.java:47) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 15:28:35,968]ERROR    46[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:147) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 15:28:40,853] INFO  4931[main] - applications.Main.main(Main.java:51) - 输出应用一的选择菜单
 [2019-05-16 15:28:43,647] INFO  7725[main] - applications.Main.main(Main.java:85) - 应用一对当前信息进行随机排序
 [2019-05-16 15:28:43,662] INFO  7740[main] - applications.Main.main(Main.java:51) - 输出应用一的选择菜单
 [2019-05-16 15:50:25,040]ERROR     0[main] - circularOrbit.SocialNetworkCircle.Analysis(SocialNetworkCircle.java:259) - 应用三有关系没有对应该人名，或者有friends标签放在了socialtie之后，重新输入文本
 [2019-05-16 15:50:42,542]ERROR     0[main] - circularOrbit.SocialNetworkCircle.Analysis(SocialNetworkCircle.java:259) - 应用三有关系没有对应该人名，或者有friends标签放在了socialtie之后，重新输入文本
 [2019-05-16 16:00:22,872] INFO     0[main] - applications.Main.main(Main.java:39) - 选择trackgame应用
 [2019-05-16 16:00:22,929] INFO    57[main] - applications.Main.main(Main.java:43) - 读取trackgame.txt的信息
 [2019-05-16 16:00:22,930] INFO    58[main] - applications.Main.main(Main.java:47) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 16:00:22,934]ERROR    62[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:147) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 16:00:28,718]ERROR  5846[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:259) - 运动员标签成绩不符合规则，重新输入文件
 [2019-05-16 16:00:50,565]ERROR 27693[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:259) - 运动员标签成绩不符合规则，重新输入文件
 [2019-05-16 16:01:04,553] INFO 41681[main] - applications.Main.main(Main.java:51) - 输出应用一的选择菜单
 [2019-05-16 16:01:06,991] INFO 44119[main] - applications.Main.main(Main.java:68) - 应用一选择可视化功能
 [2019-05-16 16:01:07,047] INFO 44175[main] - applications.Main.main(Main.java:51) - 输出应用一的选择菜单
 [2019-05-16 16:02:08,469] INFO     0[main] - applications.Main.main(Main.java:39) - 选择trackgame应用
 [2019-05-16 16:02:08,498] INFO    29[main] - applications.Main.main(Main.java:43) - 读取trackgame.txt的信息
 [2019-05-16 16:02:08,500] INFO    31[main] - applications.Main.main(Main.java:47) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 16:02:08,510]ERROR    41[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:147) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 16:02:12,967] INFO  4498[main] - applications.Main.main(Main.java:51) - 输出应用一的选择菜单
 [2019-05-16 16:02:15,938] INFO  7469[main] - applications.Main.main(Main.java:85) - 应用一对当前信息进行随机排序
 [2019-05-16 16:02:15,947] INFO  7478[main] - applications.Main.main(Main.java:51) - 输出应用一的选择菜单
 [2019-05-16 16:02:23,386] INFO 14917[main] - applications.Main.main(Main.java:68) - 应用一选择可视化功能
 [2019-05-16 16:02:23,424] INFO 14955[main] - applications.Main.main(Main.java:51) - 输出应用一的选择菜单
