 [2019-06-18 21:32:54,334] INFO 42925[Thread-23355] - lab6.monkey.run(monkey.java:153) - 30 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-20493] - lab6.monkey.run(monkey.java:144) - 猴子 494 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-20493] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-20493] - lab6.monkey.run(monkey.java:153) - 31 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-23518] - lab6.monkey.run(monkey.java:144) - 猴子 3519 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-23518] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-23518] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-23738] - lab6.monkey.run(monkey.java:144) - 猴子 3739 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-23738] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-23738] - lab6.monkey.run(monkey.java:153) - 30 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-20600] - lab6.monkey.run(monkey.java:144) - 猴子 601 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-20600] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-20600] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-23170] - lab6.monkey.run(monkey.java:144) - 猴子 3171 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-23170] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-23170] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-21708] - lab6.monkey.run(monkey.java:144) - 猴子 1709 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-21708] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-21708] - lab6.monkey.run(monkey.java:153) - 27 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22562] - lab6.monkey.run(monkey.java:144) - 猴子 2563 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-22562] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-22562] - lab6.monkey.run(monkey.java:153) - 27 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22048] - lab6.monkey.run(monkey.java:144) - 猴子 2049 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-22048] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-22048] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-20500] - lab6.monkey.run(monkey.java:144) - 猴子 501 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-20500] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-20500] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22118] - lab6.monkey.run(monkey.java:144) - 猴子 2119 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-22118] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-22118] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22086] - lab6.monkey.run(monkey.java:144) - 猴子 2087 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-22086] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-22086] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-23710] - lab6.monkey.run(monkey.java:144) - 猴子 3711 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-23710] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-23710] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22408] - lab6.monkey.run(monkey.java:144) - 猴子 2409 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-22408] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-22408] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-20254] - lab6.monkey.run(monkey.java:144) - 猴子 255 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-20254] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-20254] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-20596] - lab6.monkey.run(monkey.java:144) - 猴子 597 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-20596] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-20596] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22206] - lab6.monkey.run(monkey.java:144) - 猴子 2207 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-22206] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-22206] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-20848] - lab6.monkey.run(monkey.java:144) - 猴子 849 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-20848] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-20848] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-20188] - lab6.monkey.run(monkey.java:144) - 猴子 189 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-20188] - lab6.monkey.run(monkey.java:146) - 左边
